type,Up to 12 hrs,Over 12 hrs to 1 day,Over 1 day to 2 days,Over 2 days to 3 days,Over 3 days to 4 days,Over 4 days to 5 days,Over 5 days to 6 days,Over 6 days to 1 week,Over 1 week to 2 weeks,Over 2 weeks to 3 weeks,Over 3 weeks to 4 weeks,Over 4 weeks
uk_bus_dom,154420.0,125309,280907,195927,77236,33447,10645,3955,13284,13708.0,4522.0,3564.0
uk_fun_dom,13627.0,13148,68630,187788,218805,66226,28552,92861,97781,8545.0,17695.0,3821.0
for_bus_dom,0.0,0,10095,10764,2335,8324,none,5980,10654,0.0,0.0,0.0
for_fun_dom,4767.0,none,25372,7687,10537,38694,10233,18896,26359,4767.0,5898.0,0.0
uk_bus_intl,128740.0,292759,802367,1179401,1182390,565233,209144,802846,698202,153495.0,107981.0,204405.0
uk_fun_intl,12033.0,26915,186414,789046,1869780,1294056,566397,3159862,6132141,2634907.0,1487191.0,1481942.0
for_bus_intl,259642.0,227083,541518,1036011,1185938,735945,286072,1045448,787222,186617.0,87751.0,187868.0
for_fun_intl,26326.0,57952,367979,842326,1875647,1343424,582867,3088085,4980963,1665635.0,1110165.0,1164338.0
