type,Up to 12 hrs,Over 12 hrs to 1 day,Over 1 day to 2 days,Over 2 days to 3 days,Over 3 days to 4 days,Over 4 days to 5 days,Over 5 days to 6 days,Over 6 days to 1 week,Over 1 week to 2 weeks,Over 2 weeks to 3 weeks,Over 3 weeks to 4 weeks,Over 4 weeks
uk_bus_intl,128740,292759,802367,1179401,1182390,565233,209144,802846,698202,153495,107981,204405
uk_fun_intl,12033,26915,186414,789046,1869780,1294056,566397,3159862,6132141,2634907,1487191,1481942
for_bus_intl,259642,227083,541518,1036011,1185938,735945,286072,1045448,787222,186617,87751,187868
for_fun_intl,26326,57952,367979,842326,1875647,1343424,582867,3088085,4980963,1665635,1110165,1164338
